#definition

# set
set V := C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 
C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 ; 	# customer set
set F := F26 F27 F28 F29 F30 
F31 F32 F33 F34 F35
F36 F37 F38 F39 F40
F41 F42 F43 F44 F45 F46
F26_1 F26_2 F26_3  
F27_1 F27_2 F27_3 
F28_1 F28_2 F28_3 
F29_1 F29_2 F29_3 
F30_1 F30_2 F30_3 
F31_1 F31_2 F31_3 
F32_1 F32_2 F32_3 
F33_1 F33_2 F33_3 
F34_1 F34_2 F34_3 
F35_1 F35_2 F35_3 
F36_1 F36_2 F36_3 
F37_1 F37_2 F37_3 
F38_1 F38_2 F38_3 
F39_1 F39_2 F39_3 
F40_1 F40_2 F40_3 
F41_1 F41_2 F41_3 
F42_1 F42_2 F42_3 
F43_1 F43_2 F43_3 
F44_1 F44_2 F44_3 
F45_1 F45_2 F45_3 
F46_1 F46_2 F46_3  ;#recharging & battery swapping station
set D0 :=N0;
set Dσ :=Nσ;


# param
param CV := 200;    		# ECV fixed cost(Topic Given)
param C := 200;   		# ECV max load
param Q := 79.69; 		# ECV/BSV battery level
param h := 1;     		# ECV consumption

param CB := 267;    		# BSV fixed cost(Topic Given)
param Qplun := 5;       # BSV max load(battery)
param hplun := 1;     	# BSV consumption
param W :=159.38;		# BSV battery level

param Ct := 10 ;		# travel cost
param Cr := 100 ;		# recharging cost
param lamda := 0.00;	# battery swap time
param Cb ;  	    # battery swap cost(BSS/BSV)
param n :=25;	   		# number of customers
param g :=10.17 ;     	# the recharging rate of ECV 



# customer demend
param m :=
F41_1 0
F41_2 0
F41_3 0
F42_1 0
F42_2 0
F42_3 0
F43_1 0
F43_2 0
F43_3 0
F44_1 0
F44_2 0
F44_3 0
F45_1 0
F45_2 0
F45_3 0
F46_1 0
F46_2 0
F46_3 0
Nσ 0;

param l :=
N0 1236
C1 1028
C2 880
C3 876
C4 589
C5 391
C6 469
C7 681
C8 412
C9 1120
C10 379
C11 751
C12 683
C13 587
C14 657
C15 751
C16 975
C17 380
C18 1123
C19 1028
C20 399
C21 407
C22 575
C23 370
C24 950
C25 789
F26 1236
F27 1236
F28 1236
F29 1236
F30 1236
F31 1236
F32 1236
F33 1236
F34 1236
F35 1236
F36 1236
F37 1236
F38 1236
F39 1236
F40 1236
F41 1236
F42 1236
F43 1236
F44 1236
F45 1236
F46 1236
F26_1 1236
F26_2 1236
F26_3 1236
F27_1 1236
F27_2 1236
F27_3 1236
F28_1 1236
F28_2 1236
F28_3 1236
F29_1 1236
F29_2 1236
F29_3 1236
F30_1 1236
F30_2 1236
F30_3 1236
F31_1 1236
F31_2 1236
F31_3 1236
F32_1 1236
F32_2 1236
F32_3 1236
F33_1 1236
F33_2 1236
F33_3 1236
F34_1 1236
F34_2 1236
F34_3 1236
F35_1 1236
F35_2 1236
F35_3 1236
F36_1 1236
F36_2 1236
F36_3 1236
F37_1 1236
F37_2 1236
F37_3 1236
F38_1 1236
F38_2 1236
F38_3 1236
F39_1 1236
F39_2 1236
F39_3 1236
F40_1 1236
F40_2 1236
F40_3 1236
F41_1 1236
F41_2 1236
F41_3 1236
F42_1 1236
F42_2 1236
F42_3 1236
F43_1 1236
F43_2 1236
F43_3 1236
F44_1 1236
F44_2 1236
F44_3 1236
F45_1 1236
F45_2 1236
F45_3 1236
F46_1 1236
F46_2 1236
F46_3 1236
Nσ 1236;

param s :=
N0 0
C1 90
C2 90
C3 90
C4 90
C5 90
C6 90
C7 90
C8 90
C9 90
C10 90
C11 90
C12 90
C13 90
C14 90
C15 90
C16 90
C17 90
C18 90
C19 90
C20 90
C21 90
C22 90
C23 90
C24 90
C25 90
F26 0
F27 0
F28 0
F29 0
F30 0
F31 0
F32 0
F33 0
F34 0
F35 0
F36 0
F37 0
F38 0
F39 0
F40 0
F41 0
F42 0
F43 0
F44 0
F45 0
F46 0
F26_1 0
F26_2 0
F26_3 0
F27_1 0
F27_2 0
F27_3 0
F28_1 0
F28_2 0
F28_3 0
F29_1 0
F29_2 0
F29_3 0
F30_1 0
F30_2 0
F30_3 0
F31_1 0
F31_2 0
F31_3 0
F32_1 0
F32_2 0
F32_3 0
F33_1 0
F33_2 0
F33_3 0
F34_1 0
F34_2 0
F34_3 0
F35_1 0
F35_2 0
F35_3 0
F36_1 0
F36_2 0
F36_3 0
F37_1 0
F37_2 0
F37_3 0
F38_1 0
F38_2 0
F38_3 0
F39_1 0
F39_2 0
F39_3 0
F40_1 0
F40_2 0
F40_3 0
F41_1 0
F41_2 0
F41_3 0
F42_1 0
F42_2 0
F42_3 0
F43_1 0
F43_2 0
F43_3 0
F44_1 0
F44_2 0
F44_3 0
F45_1 0
F45_2 0
F45_3 0
F46_1 0
F46_2 0
F46_3 0
Nσ 0;

param d : N0 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 F26 F27 F28 F29 F30 F31 F32 F33 F34 F35 F36 F37 F38 F39 F40 F41 F42 F43 F44 F45 F46 F26_1 F26_2 F26_3 F27_1 F27_2 F27_3 F28_1 F28_2 F28_3 F29_1 F29_2 F29_3 F30_1 F30_2 F30_3 F31_1 F31_2 F31_3 F32_1 F32_2 F32_3 F33_1 F33_2 F33_3 F34_1 F34_2 F34_3 F35_1 F35_2 F35_3 F36_1 F36_2 F36_3 F37_1 F37_2 F37_3 F38_1 F38_2 F38_3 F39_1 F39_2 F39_3 F40_1 F40_2 F40_3 F41_1 F41_2 F41_3 F42_1 F42_2 F42_3 F43_1 F43_2 F43_3 F44_1 F44_2 F44_3 F45_1 F45_2 F45_3 F46_1 F46_2 F46_3 Nσ :=
N0 0.0000 12.1655 51.0784 35.0571 39.2938 31.6228 17.1172 41.2311 52.2015 10.1980 19.3132 22.3607 45.0444 36.0555 20.6155 22.3607 51.4782 20.6155 15.8114 20.6155 33.5410 47.4342 35.3553 10.0000 24.3516 52.0000 0.0000 33.0606 50.2494 32.6497 48.6004 31.0483 46.0109 34.4819 48.8365 23.4094 39.4588 33.0151 46.5725 19.1050 38.8973 19.0263 39.8121 38.0789 42.6380 38.4708 50.3587 0.0000 0.0000 0.0000 33.0606 33.0606 33.0606 50.2494 50.2494 50.2494 32.6497 32.6497 32.6497 48.6004 48.6004 48.6004 31.0483 31.0483 31.0483 46.0109 46.0109 46.0109 34.4819 34.4819 34.4819 48.8365 48.8365 48.8365 23.4094 23.4094 23.4094 39.4588 39.4588 39.4588 33.0151 33.0151 33.0151 46.5725 46.5725 46.5725 19.1050 19.1050 19.1050 38.8973 38.8973 38.8973 19.0263 19.0263 19.0263 39.8121 39.8121 39.8121 38.0789 38.0789 38.0789 42.6380 42.6380 42.6380 38.4708 38.4708 38.4708 50.3587 50.3587 50.3587 0.0000
C1 12.1655 0.0000 62.9682 38.3275 28.6356 21.6333 5.0000 30.4631 64.2884 2.0000 20.6155 31.1127 48.0521 29.1204 8.5440 22.0907 63.0714 32.1403 24.0416 24.7588 24.7588 59.4811 47.0956 2.8284 35.5106 63.9062 12.1655 45.0000 62.0725 38.1838 55.2268 28.2843 45.3542 28.4429 39.2046 11.6619 27.2947 25.8070 35.8469 15.1327 39.0000 23.7065 45.6180 46.7547 53.5350 50.1597 62.5140 12.1655 12.1655 12.1655 45.0000 45.0000 45.0000 62.0725 62.0725 62.0725 38.1838 38.1838 38.1838 55.2268 55.2268 55.2268 28.2843 28.2843 28.2843 45.3542 45.3542 45.3542 28.4429 28.4429 28.4429 39.2046 39.2046 39.2046 11.6619 11.6619 11.6619 27.2947 27.2947 27.2947 25.8070 25.8070 25.8070 35.8469 35.8469 35.8469 15.1327 15.1327 15.1327 39.0000 39.0000 39.0000 23.7065 23.7065 23.7065 45.6180 45.6180 45.6180 46.7547 46.7547 46.7547 53.5350 53.5350 53.5350 50.1597 50.1597 50.1597 62.5140 62.5140 62.5140 12.1655
C2 51.0784 62.9682 0.0000 51.2445 85.5862 77.6466 67.6757 87.5728 5.8310 61.0983 54.0370 37.0000 55.0091 83.6002 71.5122 57.0000 5.3852 36.7967 42.2966 58.0000 77.1622 5.3852 27.7308 60.4070 36.8782 1.0000 51.0784 26.0768 25.1794 58.5235 61.6847 74.3303 81.6088 81.2158 98.4784 74.4648 89.8443 74.0068 92.3472 61.4003 61.4003 48.0104 43.3820 30.8707 15.6525 13.1529 14.3178 51.0784 51.0784 51.0784 26.0768 26.0768 26.0768 25.1794 25.1794 25.1794 58.5235 58.5235 58.5235 61.6847 61.6847 61.6847 74.3303 74.3303 74.3303 81.6088 81.6088 81.6088 81.2158 81.2158 81.2158 98.4784 98.4784 98.4784 74.4648 74.4648 74.4648 89.8443 89.8443 89.8443 74.0068 74.0068 74.0068 92.3472 92.3472 92.3472 61.4003 61.4003 61.4003 61.4003 61.4003 61.4003 48.0104 48.0104 48.0104 43.3820 43.3820 43.3820 30.8707 30.8707 30.8707 15.6525 15.6525 15.6525 13.1529 13.1529 13.1529 14.3178 14.3178 14.3178 51.0784
C3 35.0571 38.3275 51.2445 0.0000 43.8292 37.5366 39.9249 45.4863 55.7136 37.8550 17.7200 19.2094 10.0000 67.4463 43.8634 17.0000 48.0521 45.6508 21.1896 55.4437 34.4093 51.0784 54.4885 35.9026 49.7393 52.2015 35.0571 50.9313 65.6049 66.2193 80.2309 65.2763 81.0062 66.7083 76.0263 47.4236 55.2268 29.6816 48.7647 25.0599 10.1980 16.0312 10.7703 21.0950 35.9026 39.8121 59.5399 35.0571 35.0571 35.0571 50.9313 50.9313 50.9313 65.6049 65.6049 65.6049 66.2193 66.2193 66.2193 80.2309 80.2309 80.2309 65.2763 65.2763 65.2763 81.0062 81.0062 81.0062 66.7083 66.7083 66.7083 76.0263 76.0263 76.0263 47.4236 47.4236 47.4236 55.2268 55.2268 55.2268 29.6816 29.6816 29.6816 48.7647 48.7647 48.7647 25.0599 25.0599 25.0599 10.1980 10.1980 10.1980 16.0312 16.0312 16.0312 10.7703 10.7703 10.7703 21.0950 21.0950 21.0950 35.9026 35.9026 35.9026 39.8121 39.8121 39.8121 59.5399 59.5399 59.5399 35.0571
C4 39.2938 28.6356 85.5862 43.8292 0.0000 8.0000 24.1868 2.0000 88.1419 30.4631 32.0156 49.0306 50.2096 43.8634 23.4307 29.7321 84.3445 59.9083 43.2897 52.4309 9.4340 83.1505 74.5252 29.7321 63.6003 86.5794 39.2938 72.0069 89.2693 65.8027 83.0060 50.0000 67.1193 45.1774 43.0465 24.0832 16.0312 14.2127 7.2801 24.1868 37.4833 38.0789 54.3783 61.4654 73.0068 72.4431 88.0909 39.2938 39.2938 39.2938 72.0069 72.0069 72.0069 89.2693 89.2693 89.2693 65.8027 65.8027 65.8027 83.0060 83.0060 83.0060 50.0000 50.0000 50.0000 67.1193 67.1193 67.1193 45.1774 45.1774 45.1774 43.0465 43.0465 43.0465 24.0832 24.0832 24.0832 16.0312 16.0312 16.0312 14.2127 14.2127 14.2127 7.2801 7.2801 7.2801 24.1868 24.1868 24.1868 37.4833 37.4833 37.4833 38.0789 38.0789 38.0789 54.3783 54.3783 54.3783 61.4654 61.4654 61.4654 73.0068 73.0068 73.0068 72.4431 72.4431 72.4431 88.0909 88.0909 88.0909 39.2938
C5 31.6228 21.6333 77.6466 37.5366 8.0000 0.0000 17.6918 10.0000 80.1561 23.3238 24.3516 41.2311 44.8219 41.2311 18.0278 22.3607 76.4853 52.2015 35.3553 46.0977 5.0000 75.1665 66.7083 22.3607 55.9732 78.6384 31.6228 64.1327 81.3941 59.5483 76.6942 45.6508 63.0635 42.0595 43.4166 19.6977 18.3576 9.4868 15.1327 16.2788 32.4500 30.3645 47.8017 54.1295 65.2534 64.4981 80.0999 31.6228 31.6228 31.6228 64.1327 64.1327 64.1327 81.3941 81.3941 81.3941 59.5483 59.5483 59.5483 76.6942 76.6942 76.6942 45.6508 45.6508 45.6508 63.0635 63.0635 63.0635 42.0595 42.0595 42.0595 43.4166 43.4166 43.4166 19.6977 19.6977 19.6977 18.3576 18.3576 18.3576 9.4868 9.4868 9.4868 15.1327 15.1327 15.1327 16.2788 16.2788 16.2788 32.4500 32.4500 32.4500 30.3645 30.3645 30.3645 47.8017 47.8017 47.8017 54.1295 54.1295 54.1295 65.2534 65.2534 65.2534 64.4981 64.4981 64.4981 80.0999 80.0999 80.0999 31.6228
C6 17.1172 5.0000 67.6757 39.9249 24.1868 17.6918 0.0000 25.9422 69.1231 7.0000 22.3607 34.8281 49.3356 28.1603 4.2426 23.0868 67.6240 37.1214 27.8029 28.4253 21.4009 64.2884 52.0865 7.2801 40.4475 68.6222 17.1172 50.0000 67.0671 41.8688 59.0339 29.4109 46.8188 28.0000 36.3593 7.8102 22.3607 23.2594 31.3050 15.2971 39.3192 26.4008 48.0208 50.2096 57.8014 54.7814 67.4759 17.1172 17.1172 17.1172 50.0000 50.0000 50.0000 67.0671 67.0671 67.0671 41.8688 41.8688 41.8688 59.0339 59.0339 59.0339 29.4109 29.4109 29.4109 46.8188 46.8188 46.8188 28.0000 28.0000 28.0000 36.3593 36.3593 36.3593 7.8102 7.8102 7.8102 22.3607 22.3607 22.3607 23.2594 23.2594 23.2594 31.3050 31.3050 31.3050 15.2971 15.2971 15.2971 39.3192 39.3192 39.3192 26.4008 26.4008 26.4008 48.0208 48.0208 48.0208 50.2096 50.2096 50.2096 57.8014 57.8014 57.8014 54.7814 54.7814 54.7814 67.4759 67.4759 67.4759 17.1172
C7 41.2311 30.4631 87.5728 45.4863 2.0000 10.0000 25.9422 0.0000 90.1388 32.3110 33.9559 50.9902 51.6624 44.7214 25.0000 31.6228 86.3134 61.8466 45.2769 54.0833 11.1803 85.1469 76.4853 31.6228 65.5210 88.5664 41.2311 73.9797 91.2414 67.4240 84.6286 51.2250 68.2422 46.1411 43.1856 25.4558 16.0312 15.8114 5.3852 26.1725 38.8973 40.0250 56.0803 63.3246 74.9533 74.4312 90.0888 41.2311 41.2311 41.2311 73.9797 73.9797 73.9797 91.2414 91.2414 91.2414 67.4240 67.4240 67.4240 84.6286 84.6286 84.6286 51.2250 51.2250 51.2250 68.2422 68.2422 68.2422 46.1411 46.1411 46.1411 43.1856 43.1856 43.1856 25.4558 25.4558 25.4558 16.0312 16.0312 16.0312 15.8114 15.8114 15.8114 5.3852 5.3852 5.3852 26.1725 26.1725 26.1725 38.8973 38.8973 38.8973 40.0250 40.0250 40.0250 56.0803 56.0803 56.0803 63.3246 63.3246 63.3246 74.9533 74.9533 74.9533 74.4312 74.4312 74.4312 90.0888 90.0888 90.0888 41.2311
C8 52.2015 64.2884 5.8310 55.7136 88.1419 80.1561 69.1231 90.1388 0.0000 62.3618 57.0789 40.3113 60.0333 83.2166 72.8011 60.2080 11.1803 36.0555 45.0000 57.0088 80.0000 5.0000 25.0000 61.8466 35.4683 5.3852 52.2015 24.0416 20.0000 56.2228 57.9396 73.4098 79.5110 80.7094 98.4886 75.5844 91.4440 77.1038 95.0474 64.0312 65.7875 51.1566 48.3735 35.8469 20.8087 16.2788 9.0000 52.2015 52.2015 52.2015 24.0416 24.0416 24.0416 20.0000 20.0000 20.0000 56.2228 56.2228 56.2228 57.9396 57.9396 57.9396 73.4098 73.4098 73.4098 79.5110 79.5110 79.5110 80.7094 80.7094 80.7094 98.4886 98.4886 98.4886 75.5844 75.5844 75.5844 91.4440 91.4440 91.4440 77.1038 77.1038 77.1038 95.0474 95.0474 95.0474 64.0312 64.0312 64.0312 65.7875 65.7875 65.7875 51.1566 51.1566 51.1566 48.3735 48.3735 48.3735 35.8469 35.8469 35.8469 20.8087 20.8087 20.8087 16.2788 16.2788 16.2788 9.0000 9.0000 9.0000 52.2015
C9 10.1980 2.0000 61.0983 37.8550 30.4631 23.3238 7.0000 32.3110 62.3618 0.0000 20.2237 29.7321 47.6760 29.7321 10.4403 22.0000 61.2699 30.1496 22.6716 23.4307 26.2488 57.5674 45.0999 2.0000 33.5410 62.0322 10.1980 43.0000 60.0750 36.7967 53.7587 28.0713 44.9110 28.8617 40.4599 13.4164 29.2746 27.0185 37.6962 15.5242 39.0512 22.8473 44.7772 45.4533 51.8652 48.3322 60.5310 10.1980 10.1980 10.1980 43.0000 43.0000 43.0000 60.0750 60.0750 60.0750 36.7967 36.7967 36.7967 53.7587 53.7587 53.7587 28.0713 28.0713 28.0713 44.9110 44.9110 44.9110 28.8617 28.8617 28.8617 40.4599 40.4599 40.4599 13.4164 13.4164 13.4164 29.2746 29.2746 29.2746 27.0185 27.0185 27.0185 37.6962 37.6962 37.6962 15.5242 15.5242 15.5242 39.0512 39.0512 39.0512 22.8473 22.8473 22.8473 44.7772 44.7772 44.7772 45.4533 45.4533 45.4533 51.8652 51.8652 51.8652 48.3322 48.3322 48.3322 60.5310 60.5310 60.5310 10.1980
C10 19.3132 20.6155 54.0370 17.7200 32.0156 24.3516 22.3607 33.9559 57.0789 20.2237 0.0000 17.1172 27.4591 49.7293 26.4197 3.6056 52.4690 35.4683 12.3693 39.8497 23.1948 52.0865 47.8853 18.2483 39.6989 55.0364 19.3132 44.7214 61.4654 51.8941 67.4166 48.0104 64.2806 49.0306 58.6686 30.0167 40.0000 20.0250 38.4708 8.6023 19.6469 6.0828 25.8070 30.0167 41.0000 41.0000 58.2495 19.3132 19.3132 19.3132 44.7214 44.7214 44.7214 61.4654 61.4654 61.4654 51.8941 51.8941 51.8941 67.4166 67.4166 67.4166 48.0104 48.0104 48.0104 64.2806 64.2806 64.2806 49.0306 49.0306 49.0306 58.6686 58.6686 58.6686 30.0167 30.0167 30.0167 40.0000 40.0000 40.0000 20.0250 20.0250 20.0250 38.4708 38.4708 38.4708 8.6023 8.6023 8.6023 19.6469 19.6469 19.6469 6.0828 6.0828 6.0828 25.8070 25.8070 25.8070 30.0167 30.0167 30.0167 41.0000 41.0000 41.0000 41.0000 41.0000 41.0000 58.2495 58.2495 58.2495 19.3132
C11 22.3607 31.1127 37.0000 19.2094 49.0306 41.2311 34.8281 50.9902 40.3113 29.7321 17.1172 0.0000 27.7308 58.3095 39.0512 20.0000 35.3553 26.9258 7.0711 40.3113 40.3113 35.3553 35.3553 28.2843 30.8707 38.0000 22.3607 31.8277 47.1699 49.2544 61.9839 53.1413 66.9104 56.8243 70.1783 42.5206 55.4707 37.0135 55.5788 25.0000 27.8029 11.0454 19.1050 15.8114 24.0416 24.0832 42.3792 22.3607 22.3607 22.3607 31.8277 31.8277 31.8277 47.1699 47.1699 47.1699 49.2544 49.2544 49.2544 61.9839 61.9839 61.9839 53.1413 53.1413 53.1413 66.9104 66.9104 66.9104 56.8243 56.8243 56.8243 70.1783 70.1783 70.1783 42.5206 42.5206 42.5206 55.4707 55.4707 55.4707 37.0135 37.0135 37.0135 55.5788 55.5788 55.5788 25.0000 25.0000 25.0000 27.8029 27.8029 27.8029 11.0454 11.0454 11.0454 19.1050 19.1050 19.1050 15.8114 15.8114 15.8114 24.0416 24.0416 24.0416 24.0832 24.0832 24.0832 42.3792 42.3792 42.3792 22.3607
C12 45.0444 48.0521 55.0091 10.0000 50.2096 44.8219 49.3356 51.6624 60.0333 47.6760 27.4591 27.7308 0.0000 77.1298 53.1413 26.2488 51.0784 54.6260 30.8058 65.3758 41.0366 55.7584 62.2013 45.7056 58.6003 55.9017 45.0444 58.6003 72.1388 75.9276 89.5377 75.2396 91.0055 76.4853 85.0882 56.6480 63.0079 36.0694 54.2033 34.1760 12.8062 26.0192 11.6619 24.1868 39.3573 45.0000 65.0000 45.0444 45.0444 45.0444 58.6003 58.6003 58.6003 72.1388 72.1388 72.1388 75.9276 75.9276 75.9276 89.5377 89.5377 89.5377 75.2396 75.2396 75.2396 91.0055 91.0055 91.0055 76.4853 76.4853 76.4853 85.0882 85.0882 85.0882 56.6480 56.6480 56.6480 63.0079 63.0079 63.0079 36.0694 36.0694 36.0694 54.2033 54.2033 54.2033 34.1760 34.1760 34.1760 12.8062 12.8062 12.8062 26.0192 26.0192 26.0192 11.6619 11.6619 11.6619 24.1868 24.1868 24.1868 39.3573 39.3573 39.3573 45.0000 45.0000 45.0000 65.0000 65.0000 65.0000 45.0444
C13 36.0555 29.1204 83.6002 67.4463 43.8634 41.2311 28.1603 44.7214 83.2166 29.7321 49.7293 58.3095 77.1298 0.0000 25.0000 50.9902 85.1469 47.1699 51.4782 26.9258 46.0977 79.0569 60.4152 31.6228 48.3011 84.4038 36.0555 59.9416 74.3303 35.0143 49.8197 12.0000 24.8395 3.0000 16.2788 22.0907 30.6105 49.4975 48.8774 43.4166 67.4759 52.5547 74.4648 74.0945 77.8332 72.2496 78.7147 36.0555 36.0555 36.0555 59.9416 59.9416 59.9416 74.3303 74.3303 74.3303 35.0143 35.0143 35.0143 49.8197 49.8197 49.8197 12.0000 12.0000 12.0000 24.8395 24.8395 24.8395 3.0000 3.0000 3.0000 16.2788 16.2788 16.2788 22.0907 22.0907 22.0907 30.6105 30.6105 30.6105 49.4975 49.4975 49.4975 48.8774 48.8774 48.8774 43.4166 43.4166 43.4166 67.4759 67.4759 67.4759 52.5547 52.5547 52.5547 74.4648 74.4648 74.4648 74.0945 74.0945 74.0945 77.8332 77.8332 77.8332 72.2496 72.2496 72.2496 78.7147 78.7147 78.7147 36.0555
C14 20.6155 8.5440 71.5122 43.8634 23.4307 18.0278 4.2426 25.0000 72.8011 10.4403 26.4197 39.0512 53.1413 25.0000 0.0000 26.9258 71.5891 40.0000 32.0156 29.1548 22.3607 68.0074 55.0000 11.1803 43.1045 72.4500 20.6155 53.0848 70.0000 42.4382 59.6406 27.7308 45.1885 25.1794 32.2490 3.6056 19.0263 25.0000 30.2324 18.9737 42.7551 30.6105 52.1536 54.4518 61.9112 58.6941 70.8590 20.6155 20.6155 20.6155 53.0848 53.0848 53.0848 70.0000 70.0000 70.0000 42.4382 42.4382 42.4382 59.6406 59.6406 59.6406 27.7308 27.7308 27.7308 45.1885 45.1885 45.1885 25.1794 25.1794 25.1794 32.2490 32.2490 32.2490 3.6056 3.6056 3.6056 19.0263 19.0263 19.0263 25.0000 25.0000 25.0000 30.2324 30.2324 30.2324 18.9737 18.9737 18.9737 42.7551 42.7551 42.7551 30.6105 30.6105 30.6105 52.1536 52.1536 52.1536 54.4518 54.4518 54.4518 61.9112 61.9112 61.9112 58.6941 58.6941 58.6941 70.8590 70.8590 70.8590 20.6155
C15 22.3607 22.0907 57.0000 17.0000 29.7321 22.3607 23.0868 31.6228 60.2080 22.0000 3.6056 20.0000 26.2488 50.9902 26.9258 0.0000 55.2268 39.0512 15.8114 42.7200 20.6155 55.2268 51.4782 20.0000 43.2782 58.0000 22.3607 48.3011 65.0000 55.0091 70.7248 50.0400 66.6108 50.4876 59.0339 30.4631 38.9487 17.0294 35.9026 8.0623 17.1172 9.0554 26.1725 31.7805 43.5660 44.0454 61.6117 22.3607 22.3607 22.3607 48.3011 48.3011 48.3011 65.0000 65.0000 65.0000 55.0091 55.0091 55.0091 70.7248 70.7248 70.7248 50.0400 50.0400 50.0400 66.6108 66.6108 66.6108 50.4876 50.4876 50.4876 59.0339 59.0339 59.0339 30.4631 30.4631 30.4631 38.9487 38.9487 38.9487 17.0294 17.0294 17.0294 35.9026 35.9026 35.9026 8.0623 8.0623 8.0623 17.1172 17.1172 17.1172 9.0554 9.0554 9.0554 26.1725 26.1725 26.1725 31.7805 31.7805 31.7805 43.5660 43.5660 43.5660 44.0454 44.0454 44.0454 61.6117 61.6117 61.6117 22.3607
